urban_treated,urban_control,rural_treated,rural_control,,A列平均值,139.1526316,,144.0716269,,,
37,48,34,,,,,,,,,
111,154,23,,,,,,,,,
95,142,31,,,,,,,,,
79,282,56,,,,,,,,,
38,389,39,,,,,,,,,
33,133,15,,,,,,,,,
1,78,11,,,,,,,,,
1,0,7,,,,,,,,,
10,136,28,,,,,,,,,
100,198,0,,,,,,,,,
159,800,2,,,,,,,,,
2,62,16,,,,,,,,,
0,7,31,,,,,,,,,
0,161,0,,,,,,,,,
78,0,23,,,,,,,,,
2,1590,3,,,,,,,,,
151,444,31,,,,,,,,,
174,74,5,,,,,,,,,
320,66,8,,,,,,,,,
19,14,1,,,,,,,,,
125,53,11,,,,,,,,,
67,147,0,,,,,,,,,
84,103,87,,,,,,,,,
111,24,35,,,,,,,,,
109,30,3,,,,,,,,,
91,38,3,,,,,,,,,
0,48,11,,,,,,,,,
4,108,47,,,,,,,,,
27,102,10,,,,,,,,,
4,223,6,,,,,,,,,
265,23,0,,,,,,,,,
31,241,7,,,,,,,,,
0,31,42,,,,,,,,,
60,51,0,,,,,,,,,
36,56,4,,,,,,,,,
8,7,2,,,,,,,,,
11,142,2,,,,,,,,,
46,1,10,,,,,,,,,
118,20,13,,,,,,,,,
17,79,0,,,,,,,,,
17,1,3,,,,,,,,,
150,52,12,,,,,,,,,
13,9,1,,,,,,,,,
124,14,13,,,,,,,,,
248,0,15,,,,,,,,,
38,19,9,,,,,,,,,
4,8,8,,,,,,,,,
291,127,5,,,,,,,,,
0,0,11,,,,,,,,,
6,181,0,,,,,,,,,
2,372,1,,,,,,,,,
46,312,35,,,,,,,,,
12,240,3,,,,,,,,,
44,107,9,,,,,,,,,
83,86,12,,,,,,,,,
40,132,5,,,,,,,,,
30,54,1,,,,,,,,,
65,88,0,,,,,,,,,
13,543,1,,,,,,,,,
5,13,6,,,,,,,,,
111,151,21,,,,,,,,,
120,84,39,,,,,,,,,
8,21,7,,,,,,,,,
27,0,3,,,,,,,,,
10,0,1,,,,,,,,,
4,56,2,,,,,,,,,
131,48,10,,,,,,,,,
0,39,4,,,,,,,,,
0,64,19,,,,,,,,,
28,87,3,,,,,,,,,
8,60,21,,,,,,,,,
21,22,2,,,,,,,,,
15,8,0,,,,,,,,,
20,64,0,,,,,,,,,
22,106,0,,,,,,,,,
49,7,8,,,,,,,,,
15,49,10,,,,,,,,,
8,73,8,,,,,,,,,
3,169,0,,,,,,,,,
151,300,5,,,,,,,,,
48,318,8,,,,,,,,,
0,0,0,,,,,,,,,
116,112,0,,,,,,,,,
129,30,3,,,,,,,,,
85,212,9,,,,,,,,,
52,236,12,,,,,,,,,
219,35,7,,,,,,,,,
20,5,4,,,,,,,,,
48,173,5,,,,,,,,,
293,47,1,,,,,,,,,
25,16,0,,,,,,,,,
3,135,54,,,,,,,,,
14,0,1,,,,,,,,,
58,46,11,,,,,,,,,
6,59,1,,,,,,,,,
61,118,2,,,,,,,,,
0,1187,1,,,,,,,,,
200,0,2,,,,,,,,,
310,,0,,,,,,,,,
31,,0,,,,,,,,,
9,,39,,,,,,,,,
11,,7,,,,,,,,,
0,,2,,,,,,,,,
9,,1,,,,,,,,,
559,,11,,,,,,,,,
17,,1,,,,,,,,,
0,,4,,,,,,,,,
4,,0,,,,,,,,,
0,,5,,,,,,,,,
176,,5,,,,,,,,,
5,,16,,,,,,,,,
38,,41,,,,,,,,,
51,,1,,,,,,,,,
81,,3,,,,,,,,,
3,,1,,,,,,,,,
6,,25,,,,,,,,,
4,,2,,,,,,,,,
155,,103,,,,,,,,,
113,,2,,,,,,,,,
65,,13,,,,,,,,,
11,,21,,,,,,,,,
3,,5,,,,,,,,,
4,,1,,,,,,,,,
83,,11,,,,,,,,,
1,,0,,,,,,,,,
8,,2,,,,,,,,,
0,,3,,,,,,,,,
61,,4,,,,,,,,,
18,,1,,,,,,,,,
163,,5,,,,,,,,,
85,,0,,,,,,,,,
0,,35,,,,,,,,,
7,,5,,,,,,,,,
210,,17,,,,,,,,,
49,,30,,,,,,,,,
50,,7,,,,,,,,,
24,,1,,,,,,,,,
113,,4,,,,,,,,,
106,,5,,,,,,,,,
9,,4,,,,,,,,,
432,,24,,,,,,,,,
3,,4,,,,,,,,,
51,,0,,,,,,,,,
8,,8,,,,,,,,,
21,,5,,,,,,,,,
0,,3,,,,,,,,,
104,,29,,,,,,,,,
20,,18,,,,,,,,,
9,,4,,,,,,,,,
240,,2,,,,,,,,,
